hospital_key,hospital_register_num,hospital_name,hospital_category,hospital_si,hospital_gu,hospital_dong,hospital_ceo,hospital_address,hospital_nation
BE_LiST21-0087,159,삼육서울병원,종합병원,서울특별시,동대문구,휘경2동,최명섭,서울특별시 동대문구 휘경동 29-1,"미국,일본,중국,러시아,몽골,"
BE_LiST21-0088,161,임피리얼팰리스치과의원,치과의원,서울특별시,강남구,논현2동,김영훈,서울특별시 강남구 논현동 248-7 임피리얼팰리스 호텔3층 메디컬센터,"미국,일본,중국,러시아,몽골,"
BE_LiST21-0089,165,나누리병원,병원,서울특별시,강남구,논현2동,장일태,서울특별시 강남구 논현동 63-8,"미국,중국,러시아,몽골,"
BE_LiST21-0090,169,차의과대학교강남차병원,종합병원,서울특별시,강남구,역삼1동,김춘복,서울특별시 강남구 논현로 566 (역삼동),"미국,일본,중국,러시아,중동,몽골,베트남,"
BE_LiST21-0091,170,황성주털털한피부과의원,의원,서울특별시,강남구,신사동,황성주,"서울특별시 강남구 도산대로 109 (신사동,동원빌딩4층)","미국,일본,중국,몽골,"
BE_LiST21-0092,171,기쁨병원,병원,서울특별시,강남구,도곡1동,강윤식,서울특별시 강남구 도곡동 942-3 삼우빌딩,"미국,일본,중국,"
BE_LiST21-0093,172,수치과병원,치과병원,서울특별시,강남구,압구정동,유홍열,서울특별시 강남구 신사동 665-1 한양타운,"일본,중국,러시아,"
BE_LiST21-0095,175,유티플봄성형외과의원,의원,서울특별시,강남구,논현2동,이정수외1명,서울특별시 강남구 논현동 93-1 대동타워 3층,"일본,중국,"
BE_LiST21-0096,176,하루에치과의원,치과의원,서울특별시,강남구,압구정동,이한나,서울특별시 강남구 신사동 588-21 3층,"미국,일본,중국,러시아,중동,몽골,베트남,"
BE_LiST21-0097,179,에스플란트치과병원,치과병원,서울특별시,강남구,청담동,손병섭외5명,서울특별시 강남구 청담동 2-6,"미국,일본,중국,러시아,"
BE_LiST21-0098,181,비전이비인후과의원,의원,서울특별시,강서구,가양3동,문인희,서울특별시 강서구 가양동 1488 가양프라자 303호,"미국,일본,중국,"
BE_LiST21-0099,182,이문원한의원,한의원,서울특별시,강남구,청담동,이문원,서울특별시 강남구 청담동 69-5 리유빌딩 3층일부,"미국,일본,중국,"
BE_LiST21-0100,183,하루학문외과,의원,서울특별시,종로구,평창동,서인근,"서울특별시 종로구 평창문화로 139 (평창동,5층)","미국,일본,중국,러시아,몽골,"
BE_LiST21-0101,185,조윤희산부인과,의원,서울특별시,금천구,시흥1동,조종남,서울특별시 금천구 시흥동 889-13 2층,
BE_LiST21-0102,186,글로벌서울성형외과,의원,서울특별시,강남구,압구정동,조성필,서울특별시 강남구 신사동 634-5 7층,"일본,중국,몽골,"
BE_LiST21-0103,187,글로벌성형외과의원,의원,서울특별시,강남구,압구정동,최오규,서울특별시 강남구 신사동 634-5 8층,"일본,중국,몽골,"
BE_LiST21-0104,191,세란내과의원,의원,서울특별시,강서구,화곡6동,박형근,서울특별시 강서구 화곡동 1111-2 3층,"미국,일본,중국,러시아,몽골,"
BE_LiST21-0105,192,시카고치과의원,치과의원,서울특별시,용산구,한남동,박혜원,"서울특별시 용산구 한남대로 57 (한남동,3층)","미국,일본,중국,러시아,몽골,"
BE_LiST21-0106,195,어비뇨기과의원,의원,서울특별시,노원구,상계6.7동,어홍선,서울특별시 노원구 상계동 731-3,"미국,일본,중국,러시아,몽골,"
BE_LiST21-0107,200,속편한내과의원,의원,서울특별시,영등포구,대림3동,강동훈외1명,"서울특별시 영등포구 대림동 673 신풍프라자 3층 303, 304호","미국,중국,"
BE_LiST21-0108,201,하이키한의원,한의원,서울특별시,서초구,반포3동,박승만,"서울특별시 서초구 신반포로 205 (잠원동,외5필지반포쇼핑상가6동506,507호)",
BE_LiST21-0109,205,강남신비한의원,한의원,서울특별시,강남구,신사동,유도균,"서울특별시 강남구 신사동 537 석천빌딩 3층, 4층","미국,일본,중국,"
BE_LiST21-0110,207,다미인성형외과의원,의원,서울특별시,강남구,압구정동,강춘성,서울특별시 강남구 신사동 600-2 동신빌딩 5층,"일본,중국,베트남,"
BE_LiST21-0111,212,노원룡플란트치과의원,치과의원,서울특별시,노원구,상계10동,강문구,서울특별시 노원구 상계10동 693-4 5층,
BE_LiST21-0113,223,오세원성형외과,의원,서울특별시,강남구,청담동,오세원,서울특별시 강남구 청담동 62-18 J&K빌딩 5층,"일본,중국,"
BE_LiST21-0114,225,춘원당한방병원,한방병원,서울특별시,종로구,종로1.2.3.4가동,윤영석,서울특별시 종로구 돈의동 78,"미국,일본,"
BE_LiST21-0115,227,의료법인녹십자의료재단녹십자의원,의원,서울특별시,서초구,서초3동,권이혁,서울특별시 서초구 서초동 1553-5 오퓨런스빌딩 3층,"미국,중국,러시아,몽골,베트남,"
BE_LiST21-0116,230,강피부과의원,의원,서울특별시,관악구,성현동,강남규,서울특별시 관악구 봉천동 495-1 한독빌딩 2층 201호,"미국,일본,중국,"
BE_LiST21-0117,233,아름다운오늘오킴스피부과,의원,서울특별시,중랑구,망우본동,김홍직,서울특별시 중랑구 망우동 487-16 대옥빌딩 3층,"일본,중국,"
BE_LiST21-0118,240,미에스피부과의원,의원,서울특별시,강남구,역삼1동,임태균,서울특별시 강남구 역삼동 705-24 6층,"일본,중국,"
